Çağrı No;Açılış Tarihi;Açan Birim;Birim/Şube;Servis;Ekran;Durum;2. Seviye Kullanıcı Destek Çözen/Yönlendiren;Atanan TM;Çözüm Kodu;Çözüm Tarihi
132113311;01.09.2025 08:55;Eyüpsultan Topçular İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Kullanılabilir Limit Görüntüle;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:52
132115494;01.09.2025 08:58;Toptancılar Sitesi Mersin Şubesi;Şube;Kurum Tahsilatları Servisi;SGK Müşteri Listesi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:14
132120926;01.09.2025 09:12;Çeşme Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;01.09.2025 10:44
132124786;01.09.2025 09:16;Menderes Şubesi;Şube;Ticari Krediler Servisi;TKD  Güncelleme Talebi Girişi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 09:39
132124827;01.09.2025 09:16;Erikli-Bursa Şubesi;Şube;Mevduat Servisi;Bloke Geçici Muafiyet Tanımı;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 16:16
132126023;01.09.2025 09:16;Koşuyolu İstanbul Şubesi;Şube;Şube Birim Servisi;İş Akışı;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;02.09.2025 15:15
132132738;01.09.2025 09:23;Mega Center Bayrampaşa İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:49
132147659;01.09.2025 09:37;Hoşdere Esenyurt İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Pilot Tanımı;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:01
132149058;01.09.2025 09:39;Trabzon Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:33
132150501;01.09.2025 09:42;Atm Müdürlüğü;Birim;ATM Servisi;ATM Finansal Talep Aç;Çözüldü/Kapalı;Emre;UAC.ATM;Konfigürasyon Kaynaklı;02.09.2025 10:26
132152042;01.09.2025 09:43;Gaziemir İzmir Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Hazır Limit Listele;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:05
132152196;01.09.2025 09:43;Atatürk Organize Sanayi Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:52
132153386;01.09.2025 09:45;Risk Tasfiye Koordinasyon Müdürlüğü;Birim;Takip Servisi;Takip Ödeme Planı Oluştur;Çözüldü/Kapalı;Serkan;UİT.Yasal Takip;Planlı Çalışma;05.09.2025 09:18
132154248;01.09.2025 09:46;Sanayi Eskişehir Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:14
132154621;01.09.2025 09:50;Risk Tasfiye ve Tahsil Müdürlüğü 3;Birim;Takip Servisi;Takipli Müşteri Föyü;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:04
132155173;01.09.2025 09:47;Kartepe Kocaeli Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 09:49
132157394;01.09.2025 09:50;İstanbul Gayrettepe Şubesi;Şube;İnternet Bankacılığı Servisi;Tek Kullanımlık Şifre İşlemleri;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:39
132160676;01.09.2025 09:55;Fırat/Elazığ Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 08:49
132161411;01.09.2025 09:56;Hayrabolu Tekirdağ Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:42
132161427;01.09.2025 09:58;Kınıklı Denizli Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Otomatik İstihbarat Yap;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 15:09
132163273;01.09.2025 09:59;İzmir Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:19
132163485;01.09.2025 09:59;Ataşehir Şubesi;Şube;Kredi Kartları Yönetimi Servisi;Kart Yenile;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Dış Kurum/Firma Kaynaklı;01.09.2025 17:24
132165612;01.09.2025 10:01;Trt Oran Şubesi;Şube;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 14:26
132170481;01.09.2025 10:06;Toros/Adana Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 10:50
132170649;01.09.2025 10:04;Ege 1. Bölge Krediler Müdürlüğü;Birim;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 15:02
132173823;01.09.2025 10:10;Düvenönü/Kayseri Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:28
132173913;01.09.2025 10:08;İncirliova/Aydın Şubesi;Şube;Muhasebe Servisi;Skont Bakiye;Çözüldü/Kapalı;Nursema;UAC.ATM;İş Birimleri ile İlgili/İş Kuralı;05.09.2025 12:03
132173932;01.09.2025 10:09;Mersin Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Hazır Limit Listele;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;01.09.2025 15:47
132175775;01.09.2025 10:12;Kartlı Sistemler Müşteri Hizmetleri Müdürlüğü;Birim;Kredi Kartları Yönetimi Servisi;Kredi Kartı Borç Yapılandır;Çözüldü/Kapalı;Nursema;UÖS.Kart Başvuru ve Limit Yönetimi;Veri Güncelleme ile Çözüldü;02.09.2025 10:29
132175874;01.09.2025 10:11;Konya Bölge Krediler Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 13:57
132178759;01.09.2025 10:15;Kazım Karabekir/Ankara Şubesi;Şube;Skorlama Servisi;Skor Talep Girişi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;01.09.2025 11:05
132178921;01.09.2025 10:16;Gemlik Şubesi;Şube;CRM Servisi;SKY KOBİ Müşteri Yükle;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 17:01
132187165;01.09.2025 10:21;Toros/Adana Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;02.09.2025 10:22
132188119;01.09.2025 10:23;Payas Hatay Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:03
132188616;01.09.2025 10:23;Uzunköprü Şubesi;Şube;Kurum Ödemeleri Servisi;Vinov Ödeme Kaydı Oluştur;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 11:48
132191441;01.09.2025 10:25;Tuzla Organize Sanayi Bölgesi Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:45
132192939;01.09.2025 10:26;Kırcami/Antalya Şubesi;Şube;Ticari Krediler Servisi;Teminat Mektubu Vade Uzatımı;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;01.09.2025 15:05
132196974;01.09.2025 10:30;Karşıyaka Ankara Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Hazır Limit Listele;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 12:07
132199315;01.09.2025 10:32;Yıldız Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kısa Başvuru;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 11:56
132199375;01.09.2025 10:33;Büyükçekmece Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:24
132199377;01.09.2025 10:33;Esenler Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 16:10
132202459;01.09.2025 10:34;Aykosan İkitelli İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:00
132205936;01.09.2025 10:40;Atatürk Organize Sanayi Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:14
132208701;01.09.2025 10:47;50.Yıl Sultangazi İstanbul Şubesi;Şube;Fiyatlama Yönetimi Servisi;VFA Kobi Yetki Devri Tanım;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:52
132208703;01.09.2025 10:47;Dijital Bankacılık Müdürlüğü;Birim;Mobil Bankacılık Servisi;;Çözüldü/Kapalı;Akif;UDK.MobilUygulamalar1;Uygulama Geliştirme/Yazılım Kaynaklı;10.09.2025 14:22
132208895;01.09.2025 10:49;Sanayi Eskişehir Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 09:29
132209709;01.09.2025 10:50;Bulvar/Aydın Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Serkan;UTK.Tahsis;Kullanıcı Hatası/Bilgi Eksikliği;04.09.2025 10:58
132210108;01.09.2025 10:49;Midyat/Mardin Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 16:04
132214427;01.09.2025 10:58;Dijital Bankacılık Müdürlüğü;Birim;İnternet Bankacılığı Servisi;Mobil Bankacılık İşlemleri;Aktarıldı;Yavuz;UDK.MobilUygulamalar1;;
132214833;01.09.2025 10:59;Performans Yönetimi Müdürlüğü;Birim;Performans & Hedef Değerlendirme Servisi;Müşteri Gerçekleşen Sorgula;Çözüldü/Kapalı;Yavuz;UMİ.Karlılık ve Performans;Veri Güncelleme ile Çözüldü;01.09.2025 17:15
132218096;01.09.2025 11:01;Malkara Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Pilot Tanımı;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 15:24
132218832;01.09.2025 11:05;Oltu Erzurum Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 15:29
132219919;01.09.2025 11:05;Avcılar Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:33
132225258;01.09.2025 11:11;Arnavutköy İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştirme;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:15
132229558;01.09.2025 11:17;Gülkent Isparta Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Kredi Başvuruları Listele;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 16:59
132229634;01.09.2025 11:18;Nazilli Sanayi Aydın Şubesi;Şube;Ticari Krediler Servisi;TKD Bireysel Yapılandırma Kredisi Kullandırım;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 14:25
132229698;01.09.2025 11:19;Saltak Denizli Şubesi;Şube;Dış İşlemler Servisi;İhracat Bedelleri Gümrük Beyannamesi Eşleştir;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:06
132230350;01.09.2025 11:19;Şişli Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:24
132231350;01.09.2025 11:21;Dijital Bankacılık Müdürlüğü;Birim;İnternet Bankacılığı Servisi;Mobil Bankacılık İşlemleri;Çözüldü/Kapalı;Yavuz;UDK.MobilUygulamalar1;Uygulama Geliştirme/Yazılım Kaynaklı;10.09.2025 17:59
132235532;01.09.2025 11:32;Toptancılar Sitesi Mersin Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Akif;UTK.Tahsis;Genel Sorun/EBİS Kaynaklı;01.09.2025 17:21
132236957;01.09.2025 11:35;İvedik Bulvar Ankara Şubesi;Şube;Kurum Ödemeleri Servisi;Vinov İşyeri Listesi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;01.09.2025 15:10
132237329;01.09.2025 11:38;Danıştay Ankara Şubesi;Şube;Ankes Servisi;Nakit Mesaj Cevapla;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;01.09.2025 12:26
132238069;01.09.2025 11:36;Okmeydanı İstanbul Şubesi;Şube;Skorlama Servisi;Skor Talep Girişi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:06
132240289;01.09.2025 11:43;Kırklareli Şubesi;Şube;Kredi Kartları Yönetimi Servisi;Ticari Kredi Kartı Başvurusu Yap(TFGK);Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 15:01
132240869;01.09.2025 11:42;Şişli Şubesi;Şube;Kurum Ödemeleri Servisi;Vinov Müşteri Listesi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:16
132241118;01.09.2025 11:42;Kartlı Sistemler Müşteri Hizmetleri Müdürlüğü;Birim;Kredi Kartları Yönetimi Servisi;Kredi Kartı Bilgi Güncelle;Çözüldü/Kapalı;Serkan;UÖS.Kart Başvuru ve Limit Yönetimi;İş Birimleri ile İlgili/İş Kuralı;01.09.2025 14:00
132243195;01.09.2025 11:48;Çarşı Adapazarı Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 15:09
132247437;01.09.2025 11:55;Ataşehir Kurumsal Şubesi;Birim;Ticari Krediler Servisi;Teminat Mektubu Komisyon Tahsilat İptali;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:56
132247483;01.09.2025 11:57;Yenimahalle Bölge Krediler Müdürlüğü;Birim;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:07
132248787;01.09.2025 11:58;Honaz Denizli Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Limit Risk Bakiye Listesi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:19
132249379;01.09.2025 12:00;Dijital Bankacılık Müdürlüğü;Birim;Mobil Bankacılık Servisi;;Çözüldü/Kapalı;Serkan;UAC.Açık Bankacılık;Genel Sorun/Dış Kurum Kaynaklı;09.09.2025 14:27
132251915;01.09.2025 12:00;Malkara Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Pilot Tanım;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;01.09.2025 17:46
132253428;01.09.2025 12:06;Çerkezköy Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 09:06
132254613;01.09.2025 12:03;Lüleburgaz Şubesi;Şube;CRM Servisi;SKY KOBİ Müşterileri Listesi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:27
132255459;01.09.2025 12:05;Mobilyacılar Sitesi/Adana Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:15
132256135;01.09.2025 12:05;Yeşilyurt Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kayıt iptal edildi;01.09.2025 17:25
132256222;01.09.2025 12:12;Konya Şubesi;Şube;Bireysel Krediler Servisi;TKD Bireysel Yapılandırma Kredisi Kullandırım;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 12:28
132260316;01.09.2025 12:20;Maltepe Ankara Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:22
132260331;01.09.2025 12:20;Kartepe Kocaeli Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Firma Kredi Teklif İptali;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 16:14
132262322;01.09.2025 12:20;İzmir Şubesi;Şube;Kurum Ödemeleri Servisi;MFKS Sorgula;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 17:04
132264997;01.09.2025 12:27;Erzincan Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 15:55
132264999;01.09.2025 12:28;Vatan Caddesi İstanbul Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 13:58
132265076;01.09.2025 12:23;Bodrum Çarşı Muğla Şubesi;Şube;Kredi Teminat Yönetimi Servisi;Elektronik İpotek Tesis Başvurusu Yap ;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:27
132265149;01.09.2025 12:25;Erzincan Sanayi Şubesi;Şube;CRM Servisi;SKY KOBİ Müşteri Yükle;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;01.09.2025 16:41
132266177;01.09.2025 12:33;Başakşehir Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 13:47
132266399;01.09.2025 12:38;Ankara Ankes Yönetimi Müdürlüğü;Birim;Muhasebe Servisi;Skont Bakiye;Aktarıldı;Burak;UMİ.Muhasebe;;
132266418;01.09.2025 12:40;Çamdibi Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştirme;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:46
132274968;01.09.2025 13:27;Emniyet Caddesi Şanlıurfa Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;03.09.2025 16:21
132276516;01.09.2025 13:33;Torbalı Şubesi;Şube;Kredi Kartları Yönetimi Servisi;Ticari Kredi Kartı Başvurusu Yap(TFGK);Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 10:37
132282713;01.09.2025 13:41;Lüleburgaz Cadde Şubesi;Şube;Uygulama Altyapı Servisi;İş Akışı;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 17:23
132283049;01.09.2025 13:41;Tahsilat ve Ödeme Operasyonları Müdürlüğü;Birim;CRM Servisi;Bildirim Sorgula;Çözüldü/Kapalı;Akif;UPY.CRM ve Bildirim Yönetimi;Genel Sorun/EBİS Kaynaklı;01.09.2025 18:36
132283170;01.09.2025 13:45;Çanakkale Şubesi;Şube;Skorlama Servisi;Skor Talep Girişi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;01.09.2025 16:59
132283893;01.09.2025 13:46;Gaziantep Şubesi;Şube;Ticari Krediler Servisi;Teminat Mektubu Vade Uzatımı;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 09:58
132284733;01.09.2025 13:48;Kartlı Sistemler Takas İşlemleri Müdürlüğü;Birim;Kredi Kartları Yönetimi Servisi;Kredi Kartı Şube Envanter Güncelle;Çözüldü/Kapalı;Serkan;UÖS.Kart Takas Chargeback ve Muhasebe;İş Birimleri ile İlgili/İş Kuralı;01.09.2025 14:27
132285865;01.09.2025 13:49;İslahiye/Gaziantep Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 09:48
132286575;01.09.2025 13:50;Beşevler Ankara Şubesi;Şube;Kurum Ödemeleri Servisi;Vinov İşyeri Tanım;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;01.09.2025 17:24
132287693;01.09.2025 13:54;Marmaris Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 14:26
132288112;01.09.2025 13:55;Antalya Ticari Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Tahsilatı;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;02.09.2025 10:07
132288127;01.09.2025 13:56;Performans Yönetimi Müdürlüğü;Birim;Performans & Hedef Değerlendirme Servisi;Performans Göstergesi Tanımla;Çözüldü/Kapalı;İbrahim;UMİ.Karlılık ve Performans;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 15:08
132288415;01.09.2025 13:57;Bursa Küçük Sanayi Şubesi;Şube;Mevduat Servisi;Bloke Güncelle;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Genel Sorun/EBİS Kaynaklı;01.09.2025 16:52
132289673;01.09.2025 13:57;Bosna Bulvarı/İstanbul Şubesi;Şube;Kurum Ödemeleri Servisi;Vinov İşyeri Tanım;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 15:12
132293006;01.09.2025 14:09;Dokuma/Antalya Şubesi;Şube;IVB ve Sorgulama Servisi;Mersis/Esbis Sorgula;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 17:07
