Çağrı No;Açılış Tarihi;Açan Birim;Birim/Şube;Servis;Ekran;Durum;2. Seviye Kullanıcı Destek Çözen/Yönlendiren;Atanan TM;Çözüm Kodu;Çözüm Tarihi
140651517;25.09.2025 17:16;Çorum Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:31
140651814;25.09.2025 17:18;Çorlu Bulvar Tekirdağ Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Kullandırım Talep Giriş;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 17:25
140656970;25.09.2025 17:24;Mimaroba İstanbul Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:48
140657706;25.09.2025 17:26;Dijital Bankacılık Müdürlüğü;Birim;İnternet Bankacılığı Servisi;Mobil Bankacılık İşlemleri;Aktarıldı;Burak;UGA.Altyapı;;
140658735;25.09.2025 17:27;Çumra Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:55
140659081;25.09.2025 17:28;Osmanbey Şubesi;Şube;Fiyatlama Yönetimi Servisi;VFA Kobi Yetki Talep;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;25.09.2025 18:25
140659974;25.09.2025 17:29;İç İletişim Müdürlüğü;Birim;Doküman Yönetimi Servisi;;Aktarıldı;Burak;UMİ.İnsan Kaynakları Yönetimi;;
140660722;25.09.2025 17:30;Adıyaman Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Krediler Kullandırım;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 12:06
140664547;25.09.2025 17:36;Kartlı Sistemler Müşteri Hizmetleri Müdürlüğü;Birim;Kredi Kartları Yönetimi Servisi;Anında Ek Kredi Kartı Başvurusu Yap;Aktarıldı;Burak;UÖS.Kart Başvuru ve Limit Yönetimi;;
140669965;25.09.2025 17:46;Adana/Baraj Yolu Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvuru Yap;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;26.09.2025 12:08
